gene	exprA	exprB
all7111	1365.25	2393.5
all7112	11493.5	9158
all7113	205.5	450.5
all7115	672.25	1499
all7116	1050.5	4602.5
all7117	2106	3991.25
all7120	997.75	3324.75
all7121	1373	11517
all7122	453.25	1534.5
all7123	154.25	322
all7128	1147.5	3906
all7130	964.5	2908.75
all7131	279	462.5
all7133	722.25	1768.75
all7134	133.25	204.5
all7135	160	192.25
all7136	192	162.5
all7137	189.5	115
all7148	1287.25	2433.25
all7150	5945.5	7514.75
all7151	12358.5	3177.5
all7155	2998.75	5093.25
all7158	3876.75	11043.5
all7160	9463.75	11008.5
all7161	825.25	1520.25
all7165	865	1487.75
all7166	785.25	2259.5
all7167	699.5	781.25
all7170	658	2471.25
all7171	610	3207.25
all7172	1320.5	4015.25
all7173	5725	7763.75
all7174	603.25	2328.5
all7175	116.5	284.75
all7177	1613	2754.75
all7178	6974	6677.75
all7179	1061.75	2236.5
all7182	1755.5	3188.25
all7183	2778	1221.75
all7185	1691.25	4659.5
all7186	430.25	779.5
all7187	488.25	754.5
all7188	355.25	1505
all7191	139	299.25
all7193	3478	2842
all7194	438.5	2878.25
all7195	1872	3103
all7196	2542.75	12120.2
all7197	3647.5	10628.2
all7198	2717.75	1702
all7218	1140	3333.25
all7220	792.75	294
all7221	374.5	307.75
all7222	427.5	275.75
all7223	7570.25	4747.5
all7225	1249	1435.5
all7226	1287	1200.75
all7227	529.75	2023
all7229	6338.5	10640.5
all7234	1495.25	2369
all7235	2066	2952.25
all7236	6128.75	4580.25
all7238	204.5	483.75
all7244	569.5	2581.25
all7245	4559.75	12208
all7255	4063.75	19331.2
all7259	1133.75	1823.25
all7262	1007	1431
all7263	603.5	1022
all7265	7365	13586
all7267	336.75	658.5
all7268	1397.25	2613.75
all7269	1096.25	845.75
all7270	218.5	170.5
all7271	288	293.25
all7272	287.25	217
all7273	101.75	131
all7274	197.75	229.25
all7275	187.25	255.25
all7277	342	751
all7279	371	343.5
all7280	493.5	678
all7284	140.5	139
all7285	181.25	287.5
all7286	190.25	338.25
all7287	502	657.25
all7288	140.75	247
all7290	115.75	97.25
all7291	157.5	145
all7302	1361.25	2806
all7303	8222.5	6876.75
all7309	688	1805.75
all7310	643.75	1177.5
all7313	386	1726.75
all7314	370.5	773.75
all7315	312.25	1387.5
all7316	370.5	1060.75
all7317	3901	5992.25
all7319	1817.5	5837
all7320	183.5	216
all7324	378.75	289.5
all7331	801.5	2871.25
all7332	1397	1802
all7335	263.75	659
all7344	1538.5	4285.75
all7347	399.25	1123.5
all7348	892.75	6855
all7351	471.75	678.5
all7353	146.25	159.5
all7355	4866.5	10702.2
all7360	5777	1810.5
all7362	2729	2536.75
all7364	5273.25	12368
all7366	353.5	560.75
all7367	199.5	412.75
all7368	609	883
all7369	215.75	196.75
all7370	241	289
all7372	817	3831.5
all7373	1009.5	820
all7374	255.25	225
all7375	1458.5	3126.75
all7376	8446	8724.75
all7377	1320.75	785.5
all7379	1105.25	661
all7382	2055.5	2428.5
all7501	265	236.75
all7510	212.25	402
all7521	393.75	1512
all7523	329	447.5
all7525	206	214.5
all7527	183	206
all7547	184.5	485.75
all7563	392.25	1174
all7564	201.5	399.25
all7571	335.25	443
all7577	338	226
all7578	235.75	519
all7583	413	617.5
all7584	236	683.5
all7588	163.25	219.25
all7589	211	567
all7590	425.5	363.5
all7592	318	471.5
all7594	93.25	155.5
all7597	173.75	435
all7598	238.25	700.5
all7600	633.25	1982.5
all7601	559.5	1037
all7602	497.75	1357.75
all7605	294	1406.5
all7606	443	1153
all7607	94.75	128.75
all7608	227.75	162
all7609	474.25	822.5
all7610	695.25	1840
all7611	189	314
all7614	1926	9313.75
all7615	231.75	379.25
all7616	158.25	489
all7617	616.5	2926.75
all7618	496	1411.5
all7619	804.5	1517.75
all7621	3148.5	3989.5
all7623	158.25	643.5
all7624	348.5	946
all7625	513	1320.5
all7626	1221	2226
